pickup_zone,dropoff_zone,trip_length_miles,trip_time_seconds,base_passenger_fare_dollars,tolls_dollars,black_car_fund_dollars,sales_tax_dollars,congestion_surcharge_dollars,airport_fee_dollars,tip_dollars,driver_pay_dollars,driver_total_pay_dollars,request_date,request_hour,request_minute
LaGuardia Airport,Midtown South,12.314,3000.5,95.015,6.630000000000001,2.865,9.245000000000001,2.75,2.5,14.325,78.875,93.2,5.5,15.5,7.5
Times Sq/Theatre District,JFK Airport,17.563,3628.5,102.195,4.6,3.13,9.7,2.75,2.5,13.27,79.4,92.67,26.5,12.0,25.5
JFK Airport,Upper East Side South,16.6185,2900.5,95.76,1.84,2.755,8.879999999999999,2.75,2.5,10.0,80.93,90.93,22.5,16.5,14.5
West Chelsea/Hudson Yards,LaGuardia Airport,10.836666666666666,2433.6666666666665,105.70666666666666,6.68,3.34,10.193333333333333,2.75,2.5,21.156666666666666,68.59,89.74666666666667,12.666666666666666,11.333333333333334,14.0
LaGuardia Airport,Midtown North,12.54,5460.0,134.94,6.55,4.32,12.78,2.75,2.5,0.0,88.37,88.37,21.0,14.0,48.0
Midtown South,LaGuardia Airport,9.87,2505.0,61.17,6.94,1.94,6.27,2.75,2.5,16.31,69.6,85.91,7.0,16.0,15.0
Midtown North,JFK Airport,17.002,3944.0,102.58500000000001,2.625,2.965,9.56,2.75,2.5,0.0,85.785,85.785,20.5,12.5,25.0
Midtown South,JFK Airport,18.299999999999997,4159.5,84.72,6.94,2.565,8.28,2.75,2.5,20.785,64.15,84.935,18.0,16.0,12.5
JFK Airport,Midtown Center,17.96,3973.0,107.67,6.55,3.5,10.36,2.75,2.5,0.0,84.02,84.02,9.0,17.0,6.0
Meatpacking/West Village West,JFK Airport,30.02,4418.0,123.56,6.55,3.98,11.77,2.75,2.5,0.0,82.01,82.01,27.0,14.0,23.0
LaGuardia Airport,East Chelsea,12.3,1552.0,96.76,6.55,2.91,9.39,2.75,2.5,12.08,69.16,81.24,10.0,23.0,34.0
JFK Airport,Times Sq/Theatre District,18.017333333333333,4171.0,70.61,4.776666666666666,2.216666666666667,6.913333333333333,2.75,2.5,12.356666666666667,65.82666666666667,78.18333333333334,11.666666666666666,17.666666666666668,34.333333333333336
TriBeCa/Civic Center,JFK Airport,28.3985,3461.0,69.77,4.1049999999999995,2.21,6.78,2.75,2.5,7.275,70.075,77.35,9.0,10.0,9.0
Upper West Side North,JFK Airport,22.517,2564.5,73.75,5.96,2.37,7.295,2.75,2.5,20.0,56.56,76.56,10.0,8.5,11.5
Clinton East,JFK Airport,17.961,4597.333333333333,86.12666666666667,6.236666666666667,2.6799999999999997,8.423333333333334,2.75,2.5,6.986666666666667,68.39333333333333,75.38000000000001,18.666666666666668,15.0,30.666666666666668
East Chelsea,JFK Airport,17.4,3961.5,84.53,6.55,2.705,8.305,2.75,2.5,4.0,70.03,74.03,16.5,11.5,27.0
JFK Airport,West Chelsea/Hudson Yards,18.71,3945.0,72.03,9.825,2.42,7.484999999999999,2.75,2.5,7.685,63.56,71.245,10.5,11.5,33.0
JFK Airport,Lenox Hill West,18.98,2469.0,84.62,6.55,2.81,8.31,2.75,2.5,0.0,71.0,71.0,31.0,20.0,11.0
Penn Station/Madison Sq West,JFK Airport,16.898,2856.0,118.06,5.93,3.79,11.23,2.75,2.5,0.0,69.92,69.92,19.0,6.0,18.0
East Village,LaGuardia Airport,10.711,2033.0,115.53,3.74,3.35,10.81,2.75,2.5,0.0,69.31,69.31,29.0,16.0,47.0
East Village,JFK Airport,25.009,3437.5,74.8,4.445,2.33,7.254999999999999,2.75,2.5,0.0,67.935,67.935,14.5,14.5,54.0
Lincoln Square East,JFK Airport,19.923333333333332,4014.0,89.53333333333335,4.496666666666667,2.736666666666667,8.566666666666666,2.75,2.5,0.0,67.91666666666667,67.91666666666667,15.666666666666666,18.0,32.333333333333336
JFK Airport,Lower East Side,18.87,3799.3333333333335,62.81666666666666,2.9166666666666665,1.9333333333333336,6.056666666666666,2.75,2.5,6.726666666666667,60.673333333333325,67.39999999999999,20.0,13.666666666666666,12.333333333333334
Clinton East,LaGuardia Airport,10.21,2266.0,75.6,6.55,2.33,7.51,2.75,2.5,8.99,57.09,66.08,21.0,16.0,0.0
Little Italy/NoLiTa,JFK Airport,19.547,4016.0,86.375,0.34,2.635,8.08,2.75,2.5,0.0,66.005,66.005,19.0,15.5,37.0
LaGuardia Airport,West Chelsea/Hudson Yards,9.91,5625.0,75.84,6.94,2.35,7.57,2.75,2.5,0.0,65.9,65.9,19.0,9.0,41.0
Lenox Hill West,JFK Airport,16.71,3568.0,77.16,0.0,2.19,7.07,2.75,2.5,9.16,56.5,65.66,19.0,16.0,11.0
JFK Airport,Midtown South,17.554000000000002,2933.5,74.85000000000001,6.58,2.3049999999999997,7.45,2.75,2.5,0.0,64.985,64.985,22.5,19.0,14.0
Lower East Side,JFK Airport,16.98,4235.5,67.2,0.0,2.005,6.1850000000000005,2.75,2.5,0.0,63.025,63.025,7.5,11.0,27.0
Midtown South,Midtown North,1.59,2888.0,39.34,0.0,1.18,3.49,2.75,0.0,5.0,57.7,62.7,3.0,22.0,58.0
Midtown Center,JFK Airport,19.700000000000003,3550.5,72.575,3.47,2.24,6.97,2.75,2.5,2.5,60.095,62.595,8.5,13.0,21.5
LaGuardia Airport,TriBeCa/Civic Center,16.445,2555.0,64.39,6.55,2.17,6.404999999999999,2.75,1.25,5.84,55.82,61.660000000000004,8.5,19.5,34.5
JFK Airport,Penn Station/Madison Sq West,18.275000000000002,3854.3333333333335,68.25666666666666,6.55,2.236666666666667,6.853333333333334,2.75,2.5,0.0,60.84,60.84,15.0,16.666666666666668,35.0
LaGuardia Airport,JFK Airport,11.39,1239.0,62.61,0.0,1.86,6.0,0.0,5.0,0.0,60.64,60.64,27.0,23.0,20.0
JFK Airport,East Chelsea,17.34,3674.0,56.86,6.55,1.98,5.85,2.75,2.5,0.0,57.84,57.84,18.0,22.0,7.0
Lower East Side,LaGuardia Airport,10.35,1044.0,74.79,0.0,2.32,6.86,2.75,2.5,0.0,56.88,56.88,29.0,4.0,30.0
JFK Airport,Midtown North,17.67,3643.0,56.99,0.0,1.78,5.28,2.75,2.5,3.0,53.56,56.56,17.0,15.0,48.0
Midtown Center,LaGuardia Airport,9.492,2939.0,69.45,5.73,2.14,6.89,2.75,2.5,0.0,55.58,55.58,17.0,13.0,38.0
West Chelsea/Hudson Yards,JFK Airport,18.38,2966.0,69.75999999999999,6.55,2.365,6.995,2.75,2.5,0.0,55.19,55.19,2.5,5.5,22.5
Meatpacking/West Village West,LaGuardia Airport,11.8,1614.0,75.11,6.55,2.52,7.47,2.75,2.5,0.0,54.17,54.17,25.0,7.0,20.0
Upper East Side South,TriBeCa/Civic Center,6.38,1471.0,63.35,0.0,1.9,5.62,2.75,0.0,0.0,51.7,51.7,24.0,21.0,33.0
